Team,Primary,Secondary,Acronym,#1,#2
Austin FC,#00B33E,#000000,ATX,#AustinFC,#ATX
Atlanta United,#80000B,#A29061,ATL,#ATLUTD,#AtlantaUnited
CF Montreal,#003AA8,#C2C6C9,MTL,#CFMTL,#CFMontreal
Charlotte FC,#1386C9,#000101,CLT,#ForTheCrown,#CharlotteFC
Chicago Fire FC,#FF0000,#7CCDEF,CHI,#CF97,#VamosFire
Colorado Rapids,#8D1E2E,#90B8E2,COL,#Rapids96,#ColoradoRapids
Columbus Crew,#FEDE00,#000000,CLB,#Crew96,#VamosColumbus
DC United,#1E191A,#EF3C40,DCU,#VamosUnited,#DCU
FC Cincinnati,#F0521E,#03193F,CIN,#AllforCincy,#fccincy
FC Dallas,#E81F3E,#2A4076,DAL,#DTID,#SomosFCD
Houston Dynamo FC,#FF6B00,#07111A,HOU,#HolditDown,#ForeverOrange
Inter Miami CF,#F6B5CE,#000000,MIA,#InterMiamiCF,#messi
LA Galaxy,#FFCF00,#004D7E,LA,#LAGalaxy,#vamosgalaxy
Los Angeles FC,#C6A566,#17191D,LAFC,#LAFC,#blackandgold
Minnesota United,#8DD3F4,#E5E6E7,MIN,#MNUFC,#LegionofLoons
Nashville SC,#EDE937,#190E44,NSH,#EveroneN,#NashvilleSC
New England Revolution,#0A2240,#CE0E2D,NE,#NERevs,#NERevolution
New York City FC,#78A5DB,#E76B31,NYC,#NYCFC,#dalenewyork
Orlando City,#633193,#FDE293,ORL,#OrlandoCity,#octwitter
New York Red Bulls,#EE1833,#FABC1E,RBNY,#RBNY,#newyorkredbulls
Philadelphia Union,#BEA369,#071B2C,PHI,#DOOP,#Union
Portland Timbers,#2B5134,#DBE200,POR,#RCTID,#TimbersFC
Real Salt Lake,#B30838,#013A81,RSL,#RSL,#DaleReal
San Jose Earthquakes,#0067B3,#000000,SJ,#Quakes74,#VamosSJ
Seattle Sounders FC,#4EB94E,#0030A2,SEA,#Sounders,#VamosSounders
Sporting Kansas City,#92B2D6,#002B65,SKC,#SportingKC,#VamosKC
St. Louis City,#DE0049,#001134,STL,#AllforCity,#stlCITYsc
Toronto FC,#B81137,#B0B7BB,TOR,#TFCLive,#TFC
Vancouver Whitecaps,#9EC3EB,#001F5E,VAN,#VWFC,#fiftytgthr