Team,Primary,Secondary,Acronym,#1
Kansas City Current,#62CCCA,#D03036,KC,#KCBABY
Portland Thorns FC,#971D1F,#FFFFFF,POR,#BAONPDX
Racing Louisville FC,#C9B4F6,#10002D,LOU,#RacingLou
Orlando Pride,#633095,#00A9E2,ORL,#VamosPride
North Carolina Courage,#AC1734,#02406A,NC,#ForTheLove
Houston Dash,#FE6B00,#88B7E8,HOU,#HoustonDash
Utah Royals,#FDB71A,#AE132A,UTA,#URFC
Chicago Red Stars,#60BDEA,#D3162A,CHI,#WithTheStars
Seattle Reign FC,#AC885C,#2D407A,RGN,#HerefortheCrown
Washington Spirit,#C8C7C7,#09121B,WAS,#ThatsTheSpirit
Angel City FC,#EC9386,#030202,LA,#AngelCityFC
Bay FC,#DFDFDE,#041A2E,BAY,#BayFC
San Diego Wave FC,#FC1197,#1BC7DA,SD,#MakeWaves
NJ-NY Gotham FC,#A8F0F6,#000000,NJY,#GothamFC